X,Y,Z
0.0,0.0,0.0
0.0,0.0,0.0
0.03,-1.21,-0.2
-0.55,-0.91,-0.63
0.38,-0.84,0.14
-0.71,-1.43,-0.05
0.08,-0.61,-0.14
-0.53,-0.98,-0.1
0.07,-0.37,-0.12
0.36,-0.16,-0.46
-0.42,-0.14,-0.58
-0.09,-0.29,0.01
-0.5700000000000001,-0.23,0.04
-0.03,-0.12,-0.61
-0.02,-0.24,-0.06
-0.45,-0.26,-0.23
0.21,0.05,-0.21
0.08,0.1,-0.36
-0.07,-0.03,-0.63
0.03,-0.04,0.06
-0.46,-0.09,-0.42
0.53,0.07,-0.02
-0.34,-0.06,-0.33
0.37,0.2,-0.03
-0.41000000000000003,-0.11,-0.11
0.07,0.21,-0.29
-0.13,-0.05,0.0
0.25,-0.01,-0.35000000000000003
-0.12,0.08,-0.18
-0.12,0.05,-0.43
0.02,0.15,-0.07
-0.18,0.07,-0.44
0.14,-0.04,-0.26
-0.22,-0.08,-0.33
0.11,None,-0.27
-0.18,-0.23,-0.33
-0.11,-0.3,-0.23
-0.13,-0.61,-0.41000000000000003
-0.06,-0.48,-0.23
-0.19,-0.22,-0.36
-0.1,-0.48,-0.29
-0.09,-0.43,-0.35000000000000003
-0.14,-0.2,-0.34
-0.16,-0.44,-0.28
-0.28,-0.67,-0.47000000000000003
-0.23,-0.64,-0.21
0.12,-0.2,-0.54
-0.5,0.12,-0.39
0.43,0.03,-0.36
-0.03,-0.54,-0.5
0.08,-0.37,-0.27
-0.11,-0.34,-0.07
-0.19,-0.48,-0.04
-0.33,-0.43,0.0
-0.13,-0.18,0.0
-0.18,-0.11,-0.06
-0.02,-0.2,-0.01
-0.1,-0.21,-0.05
-0.15,-0.46,-0.13
-0.13,-0.54,-0.06
0.03,-0.3,0.05
-0.14,0.0,0.0
0.0,-0.31,0.05
-0.04,-0.3,-0.01
-0.14,-0.23,-0.14
-0.04,-0.49,-0.04
-0.09,-0.37,-0.03
-0.09,0.02,-0.03
-0.09,-0.25,-0.01
-0.16,-0.37,-0.04
-0.11,-0.17,-0.03
-0.12,-0.21,-0.03
-0.05,-0.25,-0.05
-0.06,-0.2,-0.07
-0.07,-0.23,-0.04
-0.08,-0.23,-0.02
-0.05,-0.13,-0.05
-0.08,-0.21,-0.03
-0.06,-0.23,-0.04
-0.07,-0.16,-0.04
-0.09,-0.15,-0.02
-0.07,-0.17,-0.03
-0.06,-0.18,0.0
-0.08,-0.18,-0.02
-0.06,-0.16,-0.06
-0.07,-0.15,-0.02
-0.06,-0.18,-0.04
-0.05,-0.17,-0.02
-0.07,-0.13,-0.01
-0.06,-0.15,-0.01
-0.07,-0.17,-0.03
-0.07,-0.15,-0.04
-0.04,-0.13,0.0
-0.04,-0.13,-0.04
-0.05,-0.13,-0.04
-0.03,-0.12,-0.01
-0.07,None,-0.01
-0.06,-0.13,-0.01
-0.04,-0.14,-0.02
-0.04,-0.12,-0.02
-0.05,-0.11,-0.04
-0.05,-0.12,-0.04
-0.04,-0.1,0.0
-0.03,-0.12,-0.03
-0.04,-0.11,-0.01
-0.05,-0.12,0.0
-0.05,-0.1,-0.04
-0.05,-0.12,-0.01
-0.04,-0.12,-0.03
-0.05,-0.09,0.0
-0.05,-0.1,0.0
-0.04,-0.12,-0.03
-0.05,-0.11,0.0
0.0,-0.12,-0.03
-0.04,-0.08,-0.02
-0.04,-0.1,0.0
-0.02,-0.11,-0.03
-0.04,-0.09,0.0
-0.04,-0.12,-0.01
-0.04,-0.1,-0.03
-0.07,-0.1,-0.04
-0.05,-0.11,-0.04
-0.07,-0.12,0.01
-0.05,-0.1,-0.02
-0.05,-0.13,-0.01
-0.05,-0.15,0.0
-0.03,-0.11,-0.03
-0.05,-0.11,-0.03
-0.04,-0.1,-0.03
-0.02,-0.13,-0.01
-0.03,-0.1,-0.02
-0.05,-0.12,-0.03
-0.03,-0.11,0.0
-0.05,-0.12,-0.01
-0.05,-0.11,0.0
-0.03,-0.12,0.0
-0.04,-0.1,0.0
-0.02,-0.12,0.0
-0.05,-0.11,-0.04
-0.05,-0.12,-0.01
-0.03,-0.11,-0.01
-0.04,-0.11,-0.04
-0.04,-0.13,-0.01
-0.05,-0.11,0.0
-0.05,-0.08,0.0
-0.03,-0.1,0.0
-0.03,-0.09,-0.04
-0.04,-0.11,-0.01
-0.04,-0.09,0.0
-0.03,-0.1,0.0
-0.05,-0.13,0.0
-0.04,-0.13,-0.05
-0.04,-0.1,0.0
-0.02,-0.1,0.0
-0.04,-0.1,-0.02
-0.02,-0.11,-0.03
-0.04,-0.1,-0.03
-0.03,-0.12,0.01
-0.02,-0.12,-0.01
-0.03,-0.11,0.0
-0.02,-0.11,-0.01
-0.05,-0.12,-0.02
-0.03,-0.1,-0.01
-0.03,-0.11,-0.01
-0.04,-0.1,-0.03
-0.04,-0.11,0.0
-0.03,-0.11,-0.01
-0.04,-0.11,-0.01
-0.03,-0.11,-0.01
-0.05,-0.11,-0.03
-0.05,-0.1,-0.02
-0.01,-0.1,-0.02
-0.03,-0.11,-0.01
-0.05,-0.1,0.0
-0.05,-0.11,-0.02
-0.03,-0.11,0.0
-0.04,-0.09,-0.01
-0.04,-0.13,-0.01
-0.02,-0.12,0.01
-0.03,-0.09,0.0
-0.02,-0.11,-0.01
-0.02,-0.12,-0.03
-0.05,-0.12,-0.02
-0.03,-0.1,-0.03
-0.03,-0.1,-0.02
-0.05,-0.13,-0.02
-0.04,-0.12,-0.02
-0.03,-0.1,0.0
-0.03,-0.11,0.0
-0.03,-0.1,0.0
-0.04,-0.09,0.0
-0.06,-0.11,-0.03
-0.04,-0.12,0.0
-0.02,-0.09,0.0
-0.05,-0.11,0.0
-0.05,-0.12,0.0
-0.03,-0.12,-0.02
-0.04,-0.1,0.0
-0.03,-0.09,0.0
-0.03,-0.13,-0.02
-0.06,-0.13,0.0
-0.01,-0.1,0.0
-0.04,-0.1,-0.02
-0.03,-0.11,-0.04
-0.03,-0.1,0.0
-0.04,-0.11,-0.01
-0.03,-0.1,-0.02
-0.06,-0.12,0.0
-0.03,-0.11,0.0
-0.05,-0.1,-0.05
-0.02,-0.1,-0.02
-0.05,-0.11,-0.05
-0.03,-0.1,0.0
-0.04,-0.1,0.01
-0.04,-0.09,-0.03
-0.09,-0.16,-0.02
-0.08,-0.13,-0.03
-0.02,-0.07,0.0
-0.02,-0.1,-0.03
0.05,-0.07,0.0
-0.03,-0.1,-0.08
-0.11,-0.31,0.01
0.05,-0.1,-0.03
-0.02,0.0,-0.03
-0.04,-0.18,0.04
0.09,0.14,-0.1
0.05,-0.43,0.02
-0.04,-0.26,0.0
-0.36,0.17,-0.08
-0.04,-0.35000000000000003,0.06
-0.03,-0.06,-0.06
0.23,0.11,0.01
-0.05,-0.32,0.03
-0.13,0.06,0.05
-0.18,0.0,-0.05
-0.07,-0.36,-0.04
0.02,-0.1,-0.05
-0.03,-0.03,0.01
-0.03,-0.13,0.0
-0.03,-0.05,-0.04
-0.01,-0.11,0.06
-0.08,0.06,-0.07
-0.09,0.03,0.03
0.11,-0.1,0.0
None,0.0,0.01
-0.01,0.2,-0.02
0.06,0.23,0.05
0.03,0.4,0.01
0.06,None,0.02
0.04,0.71,0.07
0.16,0.56,0.04
0.0,0.64,0.13
0.04,0.51,-0.1
-0.06,0.34,0.03
-0.1,0.35000000000000003,-0.1
0.11,0.34,-0.06
-0.12,0.15,0.1
-0.02,0.1,0.17
0.02,0.26,-0.25
-0.02,0.09,0.42
-0.32,0.0,-0.4
-0.13,0.0,0.06
0.39,0.23,-0.18
-0.18,-0.21,0.5
-0.25,0.27,-0.11
0.35000000000000003,0.42,0.39
-0.32,-0.07,-0.18
0.43,0.33,0.23
-0.31,0.27,-0.64
0.81,0.24,-0.15
0.14,0.47000000000000003,0.16
-0.63,0.07,0.34
0.12,0.27,0.22
-0.05,0.38,-0.59
0.09,0.44,0.6
-0.47000000000000003,-0.05,-0.03
0.85,0.1,0.11
-0.03,-0.27,-0.24
0.16,-0.15,-0.2
-0.24,-0.22,-0.44
-0.21,-0.48,0.62
0.29,0.21,-0.31
0.09,0.0,-0.03
-0.46,0.2,0.36
-0.5700000000000001,-0.33,-0.35000000000000003
-0.04,-0.32,0.74
0.36,0.22,1.09
-1.73,-0.81,0.38
0.9500000000000001,-0.43,0.77
-0.14,0.35000000000000003,-1.05
0.48,-0.48,0.01
0.18,-0.6,-0.33
0.8300000000000001,0.3,-0.41000000000000003
-0.23,0.1,0.64
0.0,-0.26,-0.43
0.11,-0.37,0.07
0.54,0.8,0.45
-0.5,-0.1,0.1
1.1500000000000001,-0.17,-0.11
-0.43,0.0,-0.61
-0.04,0.67,0.11
0.15,-0.27,0.17
0.31,0.06,-0.06
-0.07,0.36,-0.03
-0.15,0.14,0.3
-0.9,-0.5700000000000001,-0.72
0.72,-0.31,0.9
-0.92,-0.43,-0.5
0.6,-0.07,0.23
-0.77,-0.68,-0.9
0.15,-0.24,0.96
-0.18,0.22,-1.78
1.02,-0.54,0.18
-1.06,-0.34,-0.47000000000000003
0.12,0.5700000000000001,1.11
-0.46,-0.45,-0.8200000000000001
0.52,-0.66,0.9500000000000001
0.0,0.23,0.0
0.12,-0.04,0.15
-0.58,-0.41000000000000003,-0.39
0.43,0.08,0.64
-0.8300000000000001,-0.03,0.08
0.38,-0.23,0.25
0.13,-0.1,-0.04
-0.23,0.29,-0.3
0.33,0.1,0.22
-0.07,0.06,-0.25
-0.25,-0.37,0.16
0.24,-0.31,0.43
0.58,0.0,-0.26
-0.37,-0.39,0.54
-0.5700000000000001,-0.75,0.22
-0.23,-0.6,0.43
-0.1,-0.34,-0.7000000000000001
0.89,-0.06,0.35000000000000003
-0.92,-0.4,-0.35000000000000003
1.06,0.1,0.06
0.0,-0.3,-0.48
0.12,-0.42,0.31
-0.32,-0.3,0.41000000000000003
0.86,0.21,-0.22
-0.21,-0.43,1.3900000000000001
1.6600000000000001,0.38,-0.56
-0.43,-0.46,-0.65
1.01,-0.2,-0.59
-0.08,None,0.01
0.53,0.1,0.12
0.39,0.03,-0.1
-0.54,-0.33,0.21
-0.46,-0.24,0.39
0.07,-0.23,-0.55
0.24,0.19,-0.59
-0.64,-0.56,0.12
0.42,-0.14,-0.09
0.34,0.45,-1.17
0.29,0.29,0.84
-1.54,-0.91,-0.19
0.52,0.18,0.66
-0.42,-0.29,-1.43
-0.86,-0.53,-0.07
-0.8,-0.61,-0.18
0.21,-0.09,1.83
-1.34,-0.87,-0.14
-0.19,-0.68,1.2
0.0,-0.41000000000000003,-0.9
-0.4,-0.63,0.44
0.24,-0.6,-0.13
0.15,None,0.44
0.0,0.12,-0.87
0.6,-0.68,0.63
-0.09,-0.23,-0.76
1.32,0.62,0.11
0.13,0.05,0.14
-0.02,-0.52,0.64
0.52,0.26,0.02
0.26,0.1,0.55
-0.14,-0.26,0.07
0.08,0.35000000000000003,0.48
0.09,0.29,-0.48
-0.05,-0.55,0.3
-0.4,-0.2,-0.48
0.16,-0.07,-0.18
-0.65,-0.58,-0.25
0.09,-0.37,0.55
-0.81,-0.43,0.52
0.59,None,-0.2
-0.21,-0.56,0.1
-0.25,-0.5,-0.35000000000000003
0.81,0.0,-0.85
0.02,-0.4,-0.54
0.46,-0.18,0.46
-0.17,0.03,-0.11
0.07,0.3,0.67
-0.46,-0.19,0.18
0.55,-0.38,0.24
-0.29,-0.53,-0.45
0.2,-0.17,-0.58
-0.55,-0.2,0.35000000000000003
0.35000000000000003,0.24,-0.11
0.27,-0.04,0.16
-0.45,-0.16,0.1
0.05,-0.23,0.26
-0.32,-0.15,0.5
0.91,0.4,-0.33
-0.03,-0.17,0.09
-0.22,-0.4,-0.51
0.43,0.1,-0.35000000000000003
-0.44,-0.87,0.4
0.11,-0.74,-0.08
-0.54,-0.7000000000000001,0.07
-0.19,-0.12,0.22
-0.33,-0.17,-0.62
0.71,0.21,-0.87
-0.97,-0.85,0.28
-0.04,-0.13,0.16
-0.31,0.15,-0.9
0.41000000000000003,0.03,0.05
-0.22,-0.48,0.12
0.15,0.31,-0.32
0.41000000000000003,0.38,0.3
-0.25,-0.18,-0.28
0.52,0.07,0.42
-0.6,0.2,-0.53
0.91,0.33,-0.12
0.01,-0.1,-1.03
1.12,0.36,-0.18
-0.53,0.16,-0.44
0.66,0.67,-0.46
-1.17,0.64,-0.64
-0.45,0.09,0.71
0.47000000000000003,0.01,-0.56
0.89,0.53,-0.9400000000000001
-0.66,-0.08,0.11
-0.29,-0.52,0.37
0.31,-0.06,0.92
0.45,0.46,-0.86
-0.56,-0.53,0.42
0.01,-0.32,0.0
0.09,-0.15,0.75
-0.39,-0.53,-0.15
0.29,-0.58,0.25
-0.08,-0.02,-0.1
0.35000000000000003,0.07,0.29
-0.62,-0.66,-0.29
0.39,-0.59,0.36
-0.33,-0.28,-0.63
0.56,-0.31,0.36
-0.8,-0.66,-0.51
0.89,0.5,-0.51
0.59,0.48,-0.62
0.28,-0.45,-0.47000000000000003
-0.1,-0.18,0.74
0.76,0.32,-0.77
-0.27,0.11,0.51
-0.79,-0.14,-1.51
1.6500000000000001,-0.22,2.04
-0.44,-0.41000000000000003,-2.1
1.84,0.39,0.51
-1.8,-0.97,-0.87
1.1400000000000001,0.03,0.55
-1.23,-0.35000000000000003,0.53
1.33,0.03,0.19
-1.21,-0.9500000000000001,-0.96
0.47000000000000003,-0.27,0.27
-0.5,-0.52,-0.93
0.73,0.09,-0.17
-0.9,-0.27,-0.16
-0.06,-0.2,0.08
-0.2,-0.45,0.7000000000000001
0.53,0.42,-0.42
-0.12,-0.53,-0.11
0.36,-0.35000000000000003,-0.59
-0.65,-0.22,0.25
0.89,0.45,-0.91
-0.91,-0.8,0.46
0.07,-0.06,-0.9400000000000001
0.92,0.18,0.18
-1.2,0.01,0.55
-0.39,-0.47000000000000003,0.99
0.43,-0.14,-0.43
0.35000000000000003,-0.06,1.25
0.64,0.25,-1.3800000000000001
-0.3,-0.34,0.48
-0.99,-0.09,0.37
0.63,0.1,-0.39
0.7000000000000001,-0.07,-0.61
-0.05,-0.47000000000000003,-0.63
-0.22,-0.71,0.68
-0.15,-0.06,-0.52
0.73,-0.03,-0.1
-0.27,-0.72,0.19
-0.07,-0.46,-0.07
0.53,-0.01,-0.66
0.13,-0.14,0.93
-0.47000000000000003,-0.45,-0.44
1.11,0.04,0.32
-0.43,-0.04,-0.4
0.2,-0.31,0.62
0.2,-0.41000000000000003,-0.88
-0.16,-0.06,0.3
-0.32,-0.55,-0.31
1.51,0.21,0.49
-0.6,-0.49,-0.87
0.98,0.06,0.6
-1.11,-0.4,-1.07
1.44,0.16,-0.54
-1.6500000000000001,-0.52,0.4
-0.09,-0.55,0.8
0.74,-0.03,-0.1
0.45,0.22,0.1
-0.75,-0.73,-0.07
0.41000000000000003,-0.26,0.74
-0.76,-0.52,0.42
0.71,-0.08,-0.4
-0.79,-0.93,-0.13
0.13,-0.43,-0.03
-0.17,-0.26,-0.75
0.33,-0.06,-0.63
-0.65,-0.34,-0.18
0.18,-0.22,1.2
-0.75,-0.45,0.12
0.52,0.0,0.22
-0.09,-0.03,-0.58
0.59,-0.15,-0.38
-0.86,-0.65,0.28
0.48,0.13,0.29
0.09,0.08,-0.29
-0.62,-0.68,1.05
-0.84,-0.32,0.49
0.6900000000000001,-0.05,0.0
-0.13,-0.39,0.01
0.38,-0.04,-0.64
0.26,-0.25,0.53
-0.66,-0.27,0.86
-0.39,-0.23,0.2
0.97,0.5,-0.56
1.1500000000000001,0.28,-0.99
0.61,0.0,0.4
-0.59,-0.17,-0.22
0.97,-0.16,0.56
-0.99,-1.09,0.2
0.5,-0.92,0.61
0.34,-0.45,-0.5
0.02,-0.14,-0.72
-0.56,0.47000000000000003,-0.47000000000000003
-0.18,-0.12,0.2
0.24,-0.63,0.98
-0.4,-0.36,0.09
0.24,-0.3,0.04
-0.05,-0.16,-0.28
0.25,-0.39,-0.08
-0.06,-0.21,0.52
-0.65,-0.29,0.62
0.32,0.13,-0.03
0.29,-0.12,-0.6900000000000001
0.27,-0.09,-0.39
0.13,0.08,-0.29
0.02,-0.17,0.18
-0.17,-0.35000000000000003,0.71
-0.62,-0.05,-0.88
1.16,0.24,0.32
-0.73,-0.36,-1.23
0.59,0.11,1.6
-1.5,-0.41000000000000003,-0.44
1.33,-0.3,-0.1
-0.31,-0.32,-0.58
0.04,-0.18,0.29
-0.07,-0.22,-0.04
-0.11,-0.27,0.07
0.17,0.21,-0.24
-0.16,-0.54,-0.44
0.63,0.38,-0.24
-0.49,-0.05,-0.36
-0.08,-0.64,0.51
-0.04,-0.07,0.2
0.39,0.14,-0.09
0.07,0.0,-0.11
-0.45,-0.15,0.03
-0.09,-0.64,0.03
0.18,-0.11,0.24
-0.66,-0.29,-0.22
0.43,0.11,0.52
