X,Y,Z
-0.25,-0.52,-0.39
0.5700000000000001,0.0,0.02
-0.49,-0.63,-0.46
0.16,0.01,0.99
-0.29,0.21,-0.34
1.53,-0.03,-0.15
-0.77,-0.43,-0.68
0.79,0.17,-0.28
-0.5700000000000001,-0.16,0.29
1.12,-0.24,0.0
0.32,-0.55,-0.34
0.2,-0.22,0.29
-0.21,-0.31,0.4
0.55,-0.24,-0.3
-0.18,-0.2,-0.26
0.35000000000000003,0.12,-0.25
0.05,-0.32,-0.09
0.37,-0.16,-0.36
0.34,0.1,0.3
-0.62,-0.98,-0.14
0.66,-0.68,0.34
-0.71,-0.42,0.19
-0.1,-0.03,0.52
0.05,-0.1,-0.5
0.12,0.14,0.33
0.47000000000000003,-0.21,-0.13
0.22,0.34,-0.26
-1.02,-0.09,0.09
0.11,-0.1,0.68
0.09,-0.07,-0.09
0.54,0.52,-0.53
0.11,-0.12,-0.76
-0.33,-0.48,0.3
0.31,0.14,-0.21
-0.31,0.16,0.14
0.31,-0.12,-0.36
-0.05,-0.2,0.7000000000000001
-0.78,-0.13,-0.52
1.23,0.04,0.42
-0.23,-0.14,-0.54
0.12,-0.11,2.05
-2.0300000000000002,-1.0,-0.63
2.06,0.59,0.29
-0.61,-0.1,-1.09
0.36,-0.53,0.97
0.08,-0.49,-0.68
1.11,0.11,-0.25
-0.25,-0.03,-1.04
-0.55,-0.46,0.4
-0.16,-0.32,0.37
0.12,0.15,0.27
0.12,-0.1,-0.36
-0.34,-0.54,0.0
0.55,0.39,0.14
-0.59,-0.12,-0.4
0.31,0.06,0.65
-0.43,0.25,0.6
0.76,0.22,0.5
-0.67,-0.33,-0.25
0.44,0.0,0.32
0.5700000000000001,0.19,-0.45
0.33,-0.04,-0.26
-0.21,-0.51,0.23
-0.38,-0.43,-0.35000000000000003
0.35000000000000003,-0.09,-0.12
-0.43,-0.22,0.8300000000000001
-0.26,-0.39,-0.75
1.0,0.3,0.1
0.02,0.66,-0.28
0.11,-0.15,0.43
0.16,-0.31,0.27
0.16,-0.47000000000000003,0.37
0.8200000000000001,-0.17,-0.4
-0.29,-0.28,0.33
0.17,0.01,-0.56
0.46,-0.13,0.07
-0.02,-0.33,-0.24
0.77,0.0,0.23
0.43,0.39,-0.56
1.31,0.04,-0.32
0.12,-0.21,-1.07
0.34,-0.21,0.61
0.6,-0.11,-0.51
1.02,0.0,0.68
0.16,-0.54,-0.68
0.67,-0.15,-0.46
-0.59,-0.42,-0.72
-0.76,-0.45,1.48
-0.55,-0.42,0.52
0.66,-0.52,-0.58
-0.39,-0.51,0.14
-0.38,0.06,0.41000000000000003
0.54,0.28,-1.21
0.63,-0.04,0.65
-1.51,-0.36,0.24
1.1,0.12,-0.6
-1.53,-0.9500000000000001,-0.8200000000000001
-0.63,-0.34,0.3
0.64,0.22,0.07
-0.62,-0.86,-0.98
0.77,0.0,-0.71
-0.01,0.2,-0.9500000000000001
-0.29,0.22,1.06
-0.53,0.01,0.03
0.38,-0.15,0.52
0.28,0.14,-0.64
0.64,0.05,-0.31
-0.66,-0.56,1.2
1.8,-0.51,-0.27
-0.71,-0.28,-0.62
0.81,0.17,-1.31
-1.51,-1.0,0.61
-0.6900000000000001,-0.08,0.4
0.59,-0.39,0.85
0.32,-0.76,-0.12
-0.06,-0.25,-0.14
0.22,-0.6900000000000001,0.09
-0.12,-0.56,-0.4
-0.04,-0.52,0.3
-0.38,-0.37,-0.2
0.68,0.1,-0.17
-0.28,-0.46,0.36
-0.56,-0.36,-0.27
0.14,-0.03,0.7000000000000001
0.74,0.29,-1.0
0.3,-0.18,0.52
-0.8300000000000001,-0.11,-0.39
0.37,-0.08,1.1500000000000001
0.26,0.1,-1.1
0.03,-0.12,0.71
-0.34,0.04,-0.46
0.39,0.15,0.64
-0.36,0.06,-1.06
1.1300000000000001,0.26,0.61
-0.68,-0.52,-0.75
0.21,-0.55,0.58
-0.24,-0.25,-0.46
0.19,-0.46,0.03
0.43,-0.77,-0.4
-0.5,0.05,0.25
-0.21,-0.3,0.01
0.66,-0.77,0.4
None,-0.61,0.27
0.38,0.29,-0.62
0.26,0.13,-0.38
0.64,-0.06,-1.83
-0.34,-0.11,2.13
-1.97,-0.72,0.14
1.68,0.25,-0.26
0.26,-0.26,-0.71
0.22,0.07,0.47000000000000003
0.53,-0.24,0.02
0.13,-0.35000000000000003,0.53
0.47000000000000003,0.07,-0.44
-0.51,-0.39,0.59
0.91,0.04,-0.34
0.5,-0.07,-0.25
-0.59,-0.02,-0.5
0.11,-0.08,-0.29
0.37,0.06,0.5700000000000001
0.45,0.21,-0.3
-0.2,-0.26,0.32
-0.56,-0.3,-0.22
1.03,0.31,0.25
-0.97,-0.25,0.0
0.63,-0.27,0.86
-0.03,-0.32,-0.93
0.72,-0.11,0.72
-0.6,-0.03,-0.08
-0.19,-0.99,0.49
0.5700000000000001,0.11,0.04
-0.71,0.0,-0.25
0.0,-0.66,0.37
0.47000000000000003,-0.07,-0.24
-0.12,0.06,-0.43
0.29,-0.37,0.56
-0.66,None,-0.09
0.42,0.13,0.32
-0.23,-0.28,-0.38
0.12,-0.45,0.31
-0.28,-0.39,0.31
0.62,-0.15,-0.71
-0.25,-0.73,0.47000000000000003
0.68,0.47000000000000003,-1.1300000000000001
-0.66,-0.06,0.98
1.1400000000000001,0.43,0.08
-0.34,0.24,0.67
0.25,0.45,-0.25
0.5,-0.09,0.96
0.35000000000000003,0.68,-0.85
-0.08,0.19,-0.12
0.12,-0.12,-0.34
0.31,-0.03,-0.05
-0.47000000000000003,-0.45,0.08
-0.2,-0.09,0.34
0.27,-0.12,-0.33
0.3,-0.2,0.27
-0.33,-0.06,-0.05
0.18,None,-0.26
0.38,0.19,-0.13
-0.53,-0.46,0.81
-0.58,0.12,-0.18
0.6900000000000001,-0.11,0.54
0.46,-0.25,-0.37
-0.09,-0.87,0.37
0.23,-0.21,-1.04
-0.33,-0.35000000000000003,1.05
0.1,0.01,-0.02
-0.23,-0.27,0.29
0.48,-0.33,0.65
-0.07,-0.12,-0.99
0.0,-0.4,1.06
0.08,0.08,-0.63
-0.24,-1.06,0.14
1.9100000000000001,1.02,1.05
-1.99,0.15,-0.53
2.04,-0.18,0.92
-0.8200000000000001,-0.65,-2.48
2.27,0.36,0.65
-0.87,-0.17,-0.9400000000000001
1.49,0.02,1.37
-0.74,-0.93,0.21
1.7,-0.33,0.54
-0.59,-0.26,-0.76
0.89,-0.68,0.86
0.01,-0.24,-0.76
1.08,0.38,0.24
-0.43,-0.68,-0.85
1.55,0.03,0.85
-1.03,-0.08,-0.78
1.28,0.08,1.42
-2.07,-1.09,0.2
1.0,0.27,0.24
0.22,-0.2,-1.45
0.54,-0.06,0.32
-0.6,-0.33,-0.5
0.79,None,0.47000000000000003
-0.47000000000000003,-0.37,-0.71
0.22,0.33,0.32
-0.5700000000000001,0.09,-0.04
0.49,0.03,0.08
-0.62,-0.27,0.25
-0.5,0.26,0.29
0.26,0.12,-0.47000000000000003
0.04,-0.03,0.08
-0.23,0.49,0.29
0.19,0.27,-0.27
-0.14,-0.08,0.43
-0.61,-0.03,-0.97
-0.68,-0.81,0.24
0.41000000000000003,0.11,-0.58
0.71,0.05,-0.47000000000000003
0.05,-0.11,-1.06
-0.43,-0.54,1.35
-0.93,-0.34,-0.23
0.79,-0.02,-0.11
0.46,-0.45,-0.85
-0.2,-0.55,1.46
-1.52,-0.53,0.13
1.1300000000000001,-0.14,-0.17
-0.4,-0.54,-0.35000000000000003
0.02,-0.27,0.51
-0.23,-0.26,0.1
0.7000000000000001,0.0,-0.24
0.48,0.22,-0.48
0.04,0.05,0.11
0.42,0.0,0.14
0.27,-0.33,-0.17
0.04,-0.16,0.27
0.31,0.31,-0.41000000000000003
0.56,0.01,0.27
-0.24,-0.71,-0.72
0.5700000000000001,-0.48,0.14
-0.43,0.04,-0.5700000000000001
0.67,-0.36,0.74
-0.2,-0.33,-0.22
0.59,-0.34,0.23
-0.43,-0.87,0.12
0.15,-0.44,-0.1
0.0,-0.31,0.0
-0.34,-0.6,-0.5
1.32,0.12,-1.19
0.48,-0.26,-0.81
-0.01,-0.12,-0.03
0.18,0.2,0.2
-0.27,0.16,0.43
0.43,-0.09,-0.5
0.1,0.1,-0.5
-0.56,-0.14,0.26
0.27,-0.23,0.0
-0.26,-0.43,0.61
0.67,-0.38,-0.8300000000000001
-0.46,0.1,0.08
-0.04,0.44,-0.51
-0.13,-0.36,0.43
-0.97,-0.64,0.29
0.34,-0.41000000000000003,0.07
-0.23,-0.76,-0.5700000000000001
-0.52,-0.45,0.14
0.28,-0.37,-0.13
1.62,0.09,-0.53
-0.87,-1.21,0.42
-0.49,-0.89,-0.01
0.8,0.01,-0.15
-0.72,-0.71,0.22
0.11,-0.85,0.33
0.04,-0.55,-0.52
0.36,-0.25,0.02
-0.44,-0.77,-0.2
0.43,-0.26,-0.03
-0.6,-0.2,-0.25
0.26,-0.5,0.67
0.24,-0.51,-0.42
0.28,-0.29,0.04
-0.26,-0.32,-0.25
0.05,-0.43,0.16
-0.02,-0.42,0.13
0.21,-0.03,0.06
-0.06,-0.49,-0.1
0.31,-0.15,-0.42
-0.19,-0.19,0.31
0.1,-0.37,-0.11
-0.14,-0.33,-0.17
-0.02,-0.02,0.16
0.19,-0.16,-0.27
0.43,0.06,-0.07
-0.03,-0.19,0.01
-0.12,-0.2,0.53
-0.33,-0.32,0.16
0.33,-0.3,0.37
-0.13,-0.39,-0.76
0.3,-0.25,-0.05
-0.54,-0.46,-0.31
0.19,-0.24,0.46
0.0,-0.45,0.0
0.39,-0.5,-0.11
-0.48,-0.41000000000000003,-0.07
0.56,-0.37,-0.09
-0.04,-0.67,-0.12
-0.17,-0.28,-0.05
0.14,-0.16,-0.17
-0.06,-0.56,-0.05
0.31,-0.29,0.01
0.01,-0.25,-0.11
0.1,-0.34,0.09
-0.12,-0.21,-0.09
0.14,-0.33,0.07
0.0,-0.3,-0.05
0.07,-0.17,0.02
0.02,-0.2,-0.02
0.08,-0.11,0.03
0.02,-0.03,-0.03
0.06,0.11,0.03
0.06,0.15,0.0
0.12,-0.09,0.08
0.04,0.0,-0.03
0.05,0.13,0.01
0.02,-0.07,0.01
0.07,-0.01,0.0
0.09,0.1,0.05
0.02,0.04,0.05
0.02,0.02,-0.06
0.12,-0.01,0.06
0.05,-0.06,-0.01
0.04,0.02,0.03
0.06,0.08,-0.04
0.03,-0.21,0.0
0.11,0.05,-0.02
-0.03,0.26,-0.05
0.16,-0.11,0.06
0.1,-0.02,0.01
-0.03,0.2,-0.04
0.12,-0.22,0.03
-0.01,0.01,-0.03
0.11,None,0.02
0.14,-0.04,0.05
0.06,0.12,0.02
0.02,0.02,0.0
0.05,-0.11,-0.01
0.03,0.0,0.02
0.07,0.01,0.01
0.04,0.09,0.0
0.05,0.04,0.04
0.08,0.01,0.0
0.05,-0.01,0.0
0.06,0.01,0.0
0.05,0.0,-0.03
0.04,0.02,0.0
0.06,-0.02,0.0
0.04,0.05,0.0
0.0,0.05,0.02
0.06,0.0,-0.02
0.03,-0.08,0.02
0.2,0.12,0.06
0.0,0.11,-0.04
0.05,-0.29,0.0
0.09,0.11,0.01
0.0,0.27,0.01
0.13,-0.11,0.05
0.05,0.02,0.0
0.05,0.11,-0.01
0.05,-0.09,-0.01
0.08,-0.03,0.02
0.07,0.06,0.02
0.07,-0.03,0.02
0.04,0.05,0.0
0.08,0.05,0.0
0.05,0.0,-0.04
0.11,-0.04,0.01
0.07,0.07,0.02
0.02,0.05,0.02
0.12,-0.08,-0.01
0.07,0.1,-0.01
0.05,0.0,0.01
0.04,-0.01,0.0
0.05,0.05,0.01
0.07,-0.01,0.0
0.1,0.01,0.02
0.06,0.01,0.0
0.06,0.01,0.01
0.04,-0.01,0.0
0.11,0.01,-0.02
0.04,0.08,-0.01
0.01,-0.04,0.0
0.1,0.0,0.02
0.05,0.07,0.0
0.09,-0.08,0.02
0.03,0.07,0.0
0.06,0.07,0.01
0.1,-0.01,-0.01
0.05,0.03,0.03
0.07,0.03,0.0
0.05,0.0,0.0
0.07,0.02,0.0
0.08,0.01,0.0
0.04,-0.01,0.03
0.06,0.06,0.0
0.05,-0.04,-0.01
0.11,0.08,0.02
0.02,0.08,-0.03
0.1,-0.03,0.0
0.03,0.0,0.02
0.07,0.08,0.02
0.09,-0.04,0.01
0.07,0.05,0.01
0.06,0.02,0.02
0.05,-0.01,0.02
0.04,0.02,0.03
0.05,0.0,0.0
0.11,0.04,0.01
0.05,0.02,0.0
0.06,-0.01,0.03
0.07,0.05,-0.01
0.06,0.03,0.04
0.08,0.0,-0.01
0.03,0.02,0.01
0.05,-0.04,0.0
0.05,0.01,0.02
0.07,0.05,0.01
0.06,0.0,0.0
0.08,-0.01,0.03
0.06,0.07,0.01
0.08,-0.03,0.0
0.05,0.0,0.0
0.08,0.04,0.0
0.04,0.0,0.0
0.06,-0.03,0.0
0.05,0.04,0.02
0.08,0.0,0.02
0.06,0.02,-0.01
0.06,0.05,0.04
0.03,0.02,0.0
0.08,0.01,0.01
0.06,0.02,0.0
0.06,0.03,0.0
0.07,-0.04,0.0
0.08,0.05,0.02
0.03,0.02,-0.01
0.11,-0.03,0.03
0.05,0.08,-0.05
0.05,0.04,0.0
0.1,-0.02,-0.01
0.06,0.07,0.01
0.05,-0.02,0.0
0.08,0.02,0.0
0.05,0.0,0.0
0.11,0.0,0.03
0.04,0.03,0.0
0.06,0.0,0.0
0.09,0.06,0.0
0.05,0.02,0.0
0.1,0.01,0.0
0.04,0.05,0.0
0.07,0.01,0.01
0.07,0.0,-0.01
0.06,0.06,0.02
0.02,0.02,0.0
0.09,-0.02,0.02
0.05,0.05,0.01
0.06,0.01,-0.02
0.08,-0.05,0.0
0.07,0.04,0.01
0.04,0.01,-0.01
0.1,-0.02,0.01
0.06,0.08,-0.03
0.04,0.03,0.02
0.07,-0.04,0.0
0.07,0.05,0.0
0.08,0.01,0.03
0.06,0.02,-0.01
0.09,0.1,0.02
0.03,-0.05,0.02
0.03,0.01,0.02
0.15,0.14,0.01
0.01,-0.07,-0.01
0.1,-0.07,0.03
0.02,0.19,-0.02
0.11,-0.06,0.04
0.09,-0.06,0.0
0.01,0.11,0.02
0.08,0.0,0.0
0.08,-0.05,0.03
0.05,0.13,0.04
0.07,0.01,0.0
0.06,-0.01,0.02
0.04,0.06,-0.01
0.08,-0.01,0.0
0.05,0.0,0.0
0.05,0.06,0.0
0.07,0.05,0.0
0.06,0.03,0.0
0.09,-0.01,0.0
0.04,0.06,0.0
0.05,0.65,-0.68
-0.51,-0.11,0.74
0.52,-0.59,-0.17
0.08,0.2,0.11
-0.08,-0.5,-0.13
0.01,0.7000000000000001,-0.04
-0.1,0.24,-0.13
0.24,-0.52,0.16
0.0,0.2,-0.1
0.1,0.04,0.08
0.09,-0.2,-0.03
0.07,0.23,0.0
0.02,0.2,0.0
0.11,-0.14,-0.01
-0.04,0.06,0.0
0.15,0.11,-0.02
0.07,-0.14,0.03
0.07,-0.02,-0.07
0.04,0.32,0.08
0.16,0.03,0.0
0.15,-0.13,0.0
-0.12,0.15,-0.08
0.22,-0.16,0.0
X,Y,Z
0.0,0.0,0.0
0.0,0.0,0.0
0.3,-9.89,-10.78
0.29,-9.91,-10.76
0.0,-0.14,-0.01
0.0,-0.13,0.0
-0.01,-0.13,0.0
0.02,-0.14,-0.01
0.0,-0.13,-0.01
0.01,-0.13,0.0
0.0,-0.12,0.0
0.0,-0.15,0.0
0.01,-0.15,-0.02
0.02,-0.15,0.0
0.01,-0.16,0.0
0.01,-0.08,0.01
0.01,-0.11,0.02
0.04,-0.16,-0.06
0.01,-0.1,0.0
0.02,-0.16,-0.01
0.01,-0.15,-0.01
0.02,-0.15,-0.02
0.01,-0.15,-0.05
0.0,-0.09,0.02
-0.02,-0.15,-0.02
0.01,-0.15,0.02
0.07,-0.12,0.02
-0.01,-0.16,-0.01
0.0,-0.15,0.0
0.0,-0.15,0.0
0.0,-0.14,0.02
0.02,-0.16,-0.03
0.03,-0.13,0.0
0.0,-0.13,0.03
0.0,-0.17,0.0
0.04,-0.15,0.01
-0.03,-0.14,0.05
0.05,-0.13,-0.03
0.03,-0.13,0.01
0.03,-0.15,0.02
0.04,-0.13,0.0
0.04,-0.14,0.03
0.0,-0.11,0.05
0.04,-0.13,0.04
0.04,-0.17,0.0
0.03,-0.13,0.02
0.06,-0.16,0.04
0.0,-0.14,0.0
0.03,-0.15,0.05
0.0,-0.13,0.03
0.01,-0.16,0.01
0.04,-0.14,0.01
0.01,-0.13,0.03
0.03,-0.15,0.04
0.01,-0.09,0.05
0.05,-0.19,0.03
0.06,-0.1,0.0
0.12,-0.15,0.04
-0.02,-0.18,0.08
0.01,-0.12,0.03
-0.04,-0.21,0.02
0.01,-0.15,0.01
0.01,-0.13,0.01
0.0,-0.16,0.01
-0.01,-0.13,0.04
-0.01,-0.16,0.01
-0.02,-0.13,0.04
